Market,minSz,Reward/day,Competition,Comp_YES,Comp_NO,Comp_YES_2,Comp_NO_2,Comp_YES_1,Comp_NO_1,yes_token_id,no_token_id
Will the lowest temperature in Hong Kong be 25°C on August 4?,20,57.00,1968,521,142,521,112,501,92,,
Will the lowest temperature in Tokyo be 24°C on August 3?,20,53.00,2142,285,786,257,726,71,148,,
Will the lowest temperature in Hong Kong be 26°C on August 4?,20,37.00,1556,462,316,462,316,323,163,,
Will the highest temperature in Wellington be 16°C on August 3?,20,53.00,2574,310,520,290,292,100,103,,
Will the highest temperature in Denver be between 100-101°F on August 3?,20,57.00,2876,593,715,277,700,150,597,,
Will the highest temperature in Kuala Lumpur be 34°C on August 4?,20,40.00,2026,756,257,176,172,12,5,,
Will the highest temperature in Wellington be 10°C on August 4?,20,55.00,3022,165,115,135,115,10,95,,
Will the highest temperature in Munich be 36°C on August 4?,20,36.00,2129,380,308,116,105,16,5,,
Will the highest temperature in London be 31°C on August 3?,20,32.00,1944,415,347,290,227,65,96,,
Will the highest temperature in Cape Town be 24°C on August 3?,20,25.00,1593,467,305,360,157,85,85,,
Will the highest temperature in Munich be 36°C on August 3?,20,43.00,2771,301,931,219,877,119,412,,
Will the highest temperature in Los Angeles be between 76-77°F on August 3?,20,27.00,1831,280,598,275,417,160,170,,
Will the highest temperature in Austin be between 100-101°F on August 3?,20,57.00,3981,902,767,782,585,212,533,,
Will the lowest temperature in Miami be between 80-81°F on August 3?,20,40.00,2818,714,475,514,439,65,85,,
Will the highest temperature in Shanghai be 35°C on August 3?,20,57.00,4123,1190,758,884,566,64,73,,
Will the highest temperature in Milan be 34°C or below on August 4?,20,36.00,2610,865,217,159,111,87,5,,
Will the highest temperature in Amsterdam be 33°C on August 3?,20,37.00,2779,658,636,393,600,228,545,,
Will the highest temperature in Tel Aviv be 32°C on August 4?,20,35.00,2650,704,376,500,15,93,10,,
Will the highest temperature in Los Angeles be between 78-79°F on August 3?,20,55.00,4313,683,658,227,447,100,105,,
Will the highest temperature in Cape Town be 25°C on August 3?,20,26.00,2115,505,384,440,334,10,40,,
Will the highest temperature in San Francisco be between 78-79°F on August 3?,20,25.00,2039,461,482,266,182,10,18,,
Will the highest temperature in Cape Town be 26°C or higher on August 3?,20,31.00,2536,51,96,28,91,8,7,,
Will the highest temperature in London be 30°C on August 3?,20,38.00,3135,208,891,54,511,34,461,,
Will the highest temperature in Dallas be between 98-99°F on August 3?,20,44.00,3639,1036,162,891,107,190,5,,
Will the highest temperature in Denver be between 102-103°F on August 3?,20,24.00,2010,565,440,540,310,38,74,,
Will the highest temperature in Houston be between 96-97°F on August 3?,20,53.00,4566,861,196,549,102,120,6,,
Will the highest temperature in Madrid be 34°C on August 3?,20,21.00,1830,527,252,422,40,274,30,,
Will the highest temperature in Paris be 36°C on August 3?,20,50.00,4440,1064,956,676,731,102,629,,
Will the highest temperature in Amsterdam be 32°C on August 3?,20,29.00,2570,778,383,385,89,40,5,,
Will the highest temperature in Istanbul be 29°C on August 3?,20,22.00,1988,320,604,226,599,40,306,,
Will the highest temperature in Madrid be 32°C on August 3?,20,23.00,2147,435,638,244,431,5,15,,
Will the highest temperature in Wellington be 11°C on August 4?,20,34.00,3197,823,770,173,618,3,165,,
Will the highest temperature in Helsinki be 21°C on August 3?,20,43.00,4060,651,738,210,403,5,260,,
Will the highest temperature in Milan be 36°C on August 4?,20,30.00,2832,722,215,722,10,213,5,,
Will the highest temperature in Mexico City be 26°C on August 3?,20,37.00,3512,692,1009,356,768,10,130,,
Will the highest temperature in Shanghai be 34°C on August 3?,20,25.00,2368,615,470,391,259,6,1,,
Will the highest temperature in Hong Kong be 28°C on August 4?,20,36.00,3421,409,475,404,305,368,207,,
Will the highest temperature in Panama City be 32°C on August 3?,20,26.00,2490,680,495,488,490,14,87,,
Will the highest temperature in Busan be 36°C on August 3?,20,46.00,4430,908,981,606,667,39,9,,
Will the highest temperature in Miami be between 92-93°F on August 3?,20,41.00,4007,758,715,377,445,30,5,,
Will the highest temperature in Chicago be between 80-81°F on August 3?,20,50.00,4966,311,1189,87,331,17,13,,
Will the highest temperature in Munich be 35°C on August 3?,20,46.00,4601,608,964,188,749,94,482,,
Will the highest temperature in Shenzhen be 32°C on August 4?,20,28.00,2814,736,641,471,411,326,151,,
Will the highest temperature in Ankara be 34°C on August 3?,20,22.00,2233,257,445,127,273,21,126,,
Will the highest temperature in Wellington be 15°C on August 3?,20,46.00,4743,521,1098,320,731,88,512,,
Will the highest temperature in Busan be 35°C on August 3?,20,28.00,2890,891,449,460,405,10,59,,
Will the highest temperature in Chongqing be 27°C on August 3?,20,25.00,2587,429,736,213,629,5,166,,
Will the highest temperature in New York City be between 84-85°F on August 3?,20,36.00,3832,1137,658,588,281,4,6,,
Will the highest temperature in Seoul (Incheon) be 34°C on August 3?,20,43.00,4587,900,1084,870,1069,34,607,,
Will the highest temperature in New York City be between 82-83°F on August 3?,20,39.00,4221,1275,436,610,314,106,90,,
Will the highest temperature in Helsinki be 21°C on August 4?,20,28.00,3048,572,270,277,200,193,130,,
Will the highest temperature in Hong Kong be 30°C on August 4?,20,20.00,2185,468,595,468,337,80,332,,
Will the highest temperature in Austin be between 98-99°F on August 3?,20,29.00,3198,888,441,743,405,571,14,,
Will the highest temperature in Houston be between 98-99°F on August 3?,20,29.00,3238,827,434,386,408,41,83,,
Will the highest temperature in Istanbul be 27°C on August 3?,20,27.00,3020,720,640,279,351,117,5,,
Will the highest temperature in Lucknow be 33°C on August 3?,20,40.00,4491,926,745,643,394,213,26,,
Will the highest temperature in Singapore be 33°C on August 4?,20,42.00,4749,1037,1091,882,936,124,215,,
Will the highest temperature in Manila be 29°C on August 3?,20,27.00,3063,780,654,317,390,5,30,,
Will the highest temperature in Beijing be 33°C on August 4?,20,37.00,4212,978,1128,753,544,404,5,,
Will the highest temperature in Chengdu be 33°C on August 3?,20,45.00,5136,1433,695,873,625,81,74,,
Will the highest temperature in Taipei be 35°C on August 4?,20,36.00,4113,1358,699,1303,201,195,5,,
Will the highest temperature in Guangzhou be 32°C on August 4?,20,37.00,4238,1181,856,211,632,121,176,,
Will the highest temperature in Toronto be 27°C on August 3?,20,21.00,2399,509,426,67,284,31,197,,
Will the highest temperature in Shenzhen be 28°C on August 3?,20,31.00,3567,1143,453,661,261,401,10,,
Will the highest temperature in Chongqing be 30°C on August 4?,20,26.00,3035,1024,493,813,423,5,75,,
Will the highest temperature in Amsterdam be 30°C on August 4?,20,38.00,4486,1480,729,1282,571,120,157,,
Will the highest temperature in Guangzhou be 31°C on August 3?,20,35.00,4142,989,789,432,433,58,137,,
Will the highest temperature in Jeddah be 39°C on August 4?,20,27.00,3281,809,831,508,811,5,393,,
Will the highest temperature in Sao Paulo be 27°C on August 3?,20,44.00,5419,998,1391,182,914,5,687,,
Will the highest temperature in Busan be 35°C on August 4?,20,28.00,3444,831,856,682,856,109,142,,
Will the highest temperature in Wuhan be 38°C on August 4?,20,38.00,4686,821,1452,511,1352,90,748,,
Will the highest temperature in Jeddah be 40°C or higher on August 4?,20,47.00,5838,2021,898,1288,267,626,5,95017576376118178592195972569560025499808279013955649588746441950496636931037,
Will the highest temperature in Madrid be 34°C on August 4?,20,53.00,6708,1269,1369,297,308,5,5,,
Will the highest temperature in Paris be 31°C on August 4?,20,28.00,3547,944,829,558,540,346,317,,
Will the highest temperature in Lucknow be 30°C on August 4?,20,29.00,3686,794,900,483,569,130,155,,
Will the highest temperature in Toronto be 25°C on August 3?,20,33.00,4213,1184,747,690,471,43,5,,
Will the highest temperature in Chicago be between 78-79°F on August 3?,20,33.00,4287,565,547,528,193,191,90,,
Will the highest temperature in Busan be 34°C on August 4?,20,46.00,6018,2158,832,2038,272,118,227,56331496051730636851778258894786636772814722663657077428609405281517733639423,
Will the highest temperature in Tel Aviv be 33°C on August 4?,20,54.00,7092,1509,410,253,175,233,10,,
Will the highest temperature in Seoul (Incheon) be 35°C on August 4?,20,31.00,4113,1359,663,1093,588,110,90,,
Will the highest temperature in Chengdu be 34°C on August 4?,20,26.00,3451,857,854,465,528,5,336,,
Will the highest temperature in Karachi be 32°C on August 4?,20,21.00,2800,825,575,560,570,75,80,,
Will the highest temperature in Karachi be 32°C on August 3?,20,34.00,4554,803,1319,333,701,206,579,,
Will the highest temperature in Helsinki be 22°C on August 3?,20,55.00,7431,1392,1765,691,828,204,561,,43810319351011344128650109153788091694283033120549188387143575338586297153820
Will the highest temperature in Tel Aviv be 35°C on August 3?,20,31.00,4186,804,917,435,438,41,25,,
Will the highest temperature in Qingdao be 35°C on August 4?,20,26.00,3520,1124,611,989,611,100,115,,
Will the highest temperature in Ankara be 32°C on August 3?,20,24.00,3256,766,679,325,225,10,79,,
Will the highest temperature in Madrid be 33°C on August 4?,20,35.00,4772,1451,604,804,378,131,10,,
Will the highest temperature in Chongqing be 32°C on August 4?,20,20.00,2739,169,349,122,18,96,13,,
Will the highest temperature in Lucknow be 34°C on August 3?,20,26.00,3587,763,584,424,279,312,3,,
Will the highest temperature in Atlanta be between 84-85°F on August 3?,20,38.00,5252,1626,756,1056,216,120,2,106271216684004617600062406693430421618704952313927090858754680937758089694157,
Will the highest temperature in Guangzhou be 33°C on August 4?,20,41.00,5686,1429,1273,1159,916,134,236,,
Will the highest temperature in Miami be between 90-91°F on August 3?,20,49.00,6826,1210,1726,489,1127,107,836,,12224803553069778062951235113848785239359071863217599650930745164787487681233
Will the highest temperature in Jeddah be 38°C on August 4?,20,21.00,2923,753,708,653,432,363,5,,
Will the highest temperature in Istanbul be 28°C on August 4?,20,51.00,7214,1461,1846,702,1387,245,556,,10498465280604971812796830386550230231709988249608337964277158716487059370526
Will the highest temperature in Madrid be 33°C on August 3?,20,56.00,7964,1864,1345,1203,801,142,6,106816145839141293997212070002364124247249352742138466778799690522105724688761,
Will the highest temperature in Jeddah be 41°C or higher on August 3?,20,55.00,7867,1848,935,680,563,12,193,,
Will the highest temperature in Milan be 36°C on August 3?,20,53.00,7629,682,1849,201,1128,5,1033,,7354666106171593455112938022131641672703679773585243007232534934509386514242
Will the highest temperature in Shenzhen be 31°C on August 4?,20,32.00,4631,1323,865,1126,689,523,289,,
Will the highest temperature in Tel Aviv be 34°C on August 3?,20,55.00,8017,1458,1703,747,963,0,5,,
Will the highest temperature in Chengdu be 34°C on August 3?,20,30.00,4377,1298,617,705,209,26,11,,
Will the highest temperature in Cape Town be 21°C on August 4?,20,28.00,4111,1038,988,590,595,154,7,,
Will the highest temperature in Karachi be 33°C on August 3?,20,56.00,8271,1595,1636,703,882,117,290,,98509827017367265520411346437599547886975663740967720614819646616657994862811
Will the highest temperature in Toronto be 26°C on August 3?,20,46.00,6807,2103,931,1831,827,1185,129,13415917978264638225906439276523071444092248005443645618112742154670445325273,
Will the highest temperature in Kuala Lumpur be 34°C on August 3?,20,34.00,5041,1939,516,1519,268,169,81,103043760122127624819194701966730804454988077795879092267737735870855701336593,
Will the highest temperature in Seoul (Incheon) be 33°C on August 3?,20,33.00,4901,1673,510,758,275,82,40,,
Will the highest temperature in Beijing be 33°C on August 3?,20,29.00,4429,1128,670,225,363,41,88,,
Will the highest temperature in Tokyo be 27°C on August 3?,20,46.00,7098,966,1567,284,519,15,44,,
Will the highest temperature in Moscow be 26°C on August 3?,20,34.00,5340,1200,779,858,462,90,139,,
Will the highest temperature in Hong Kong be 28°C on August 3?,20,32.00,5046,877,514,526,276,182,188,,
Will the highest temperature in Tokyo be 28°C on August 4?,20,36.00,5712,2013,844,1828,769,138,110,107244604902188973729546325458664315033806137622380605234609591759438196392846,
Will the highest temperature in Karachi be 34°C on August 4?,20,30.00,4759,980,900,244,202,96,5,,
Will the highest temperature in Qingdao be 36°C on August 3?,20,26.00,4125,975,537,238,203,5,5,,
Will the highest temperature in Istanbul be 28°C on August 3?,20,51.00,8213,2372,1618,1640,811,868,277,7534297012306341434447212193396610367773027744592769609852429448904331361133,96712896560642195511973476345850409733792414639829367052088912068067775196517
Will the highest temperature in Panama City be 33°C on August 3?,20,40.00,6483,1783,1453,834,1305,130,111,22902303635538473878253856800473086303003513797223211621683157616493149913111,
Will the highest temperature in Helsinki be 22°C on August 4?,20,53.00,8598,1947,855,1040,16,202,5,45294105032060128334170275143151938436559105108445365792740505802310226354570,
Will the highest temperature in Shenzhen be 29°C on August 4?,20,27.00,4372,923,953,398,606,70,316,,
Will the highest temperature in Ankara be 33°C on August 3?,20,54.00,8779,1910,2155,697,1385,147,330,,89292103491965830121503356773558118670937147673584145838763689173947826644577
Will the highest temperature in Shanghai be 34°C on August 4?,20,41.00,6707,1914,1429,1539,237,128,5,88712303531296047493872090156701863684723043423778543146059527963814228263718,
Will the highest temperature in Shenzhen be 30°C on August 3?,20,21.00,3428,532,1172,230,1167,53,327,,
Will the highest temperature in Warsaw be 30°C on August 3?,20,33.00,5412,1408,1045,443,340,5,5,,
Will the highest temperature in Lucknow be 32°C on August 3?,20,26.00,4296,852,1113,485,295,171,25,,
Will the highest temperature in Chongqing be 26°C on August 3?,20,46.00,7619,1958,861,566,558,250,183,,
Will the highest temperature in Taipei be 37°C on August 3?,20,49.00,8171,1453,1366,385,556,20,24,,
Will the highest temperature in Dallas be between 100-101°F on August 3?,20,40.00,6686,1699,631,577,386,210,211,,
Will the highest temperature in Beijing be 35°C on August 3?,20,30.00,5021,977,1298,381,799,10,108,,
Will the highest temperature in Mexico City be 27°C on August 3?,20,39.00,6548,1966,778,984,437,552,25,76242550934451858130891081745753516409737444291886504232457494349322581673396,
Will the highest temperature in Atlanta be between 86-87°F on August 3?,20,42.00,7068,1937,1457,1363,1036,174,263,42412188214843150262208662977328479103561733947063031951011078574793835143266,
Will the highest temperature in Kuala Lumpur be 33°C on August 3?,20,46.00,7761,1639,2242,1149,2017,584,554,27770980144764415061316369862914550103026808952289658434945018408346392989866,113033452544962114598915754094710488067851955862420090648325303667474157894958
Will the highest temperature in Busan be 37°C on August 3?,20,21.00,3547,1124,334,754,239,9,67,,
Will the highest temperature in London be 28°C on August 4?,20,33.00,5673,2368,431,1686,386,494,90,15343935586601082995935955653252949359004589934593088203396719416775899135725,
Will the highest temperature in Tokyo be 28°C on August 3?,20,28.00,4815,1038,1173,530,576,40,67,,
Will the highest temperature in Taipei be 36°C on August 3?,20,36.00,6233,1532,1077,863,582,129,14,63779296107129569053976834837982648275513060684487729900484533216322104077642,
Will the highest temperature in Singapore be 33°C on August 3?,20,46.00,7986,666,1652,207,1375,21,173,,97649710074738614001448031544816778552641993058662737132534048416837366519853
Will the highest temperature in Wuhan be 37°C on August 3?,20,43.00,7492,1237,1336,407,890,34,5,,
Will the highest temperature in Wuhan be 36°C on August 4?,20,25.00,4365,1588,575,1568,575,871,285,85754326063386566468185790156861003837845017060236463395616340549910295952000,
Will the highest temperature in Buenos Aires be 18°C on August 3?,20,37.00,6500,2722,425,1486,254,163,134,62741113508705993319895404889395139446418899159167240365092342194859649424138,
Will the highest temperature in Beijing be 34°C on August 3?,20,38.00,6684,2241,770,1322,494,24,121,,
Will the highest temperature in Moscow be 26°C on August 4?,20,35.00,6167,2834,249,1576,249,11,153,,
Will the highest temperature in Wuhan be 36°C on August 3?,20,38.00,7000,1412,1323,638,444,47,31,,
Will the highest temperature in Seoul (Incheon) be 34°C on August 4?,20,34.00,6264,1990,995,1124,745,10,150,,
Will the highest temperature in Taipei be 36°C on August 4?,20,42.00,7749,2204,1645,1283,912,214,145,19826724661011461612012283810490331704915866681805387878677752811720326424274,41199706757769749632597645965396881540931086725359453094014102753604348726331
Will the highest temperature in Warsaw be 34°C on August 4?,20,32.00,5918,915,1495,488,865,110,136,,
Will the highest temperature in Milan be 35°C on August 3?,20,38.00,7096,2591,386,1623,244,911,99,10320062993249731101601161861257612783556032003454562715208595293210448254212,
Will the highest temperature in Ankara be 32°C on August 4?,20,38.00,7155,1538,541,947,130,128,5,85927802083739993401917459181370429759011250926235864565754764088072995793379,
Will the highest temperature in Guangzhou be 30°C on August 3?,20,32.00,6151,2010,474,1188,206,73,11,12861319420362903060918702269115471609014767286664122255648733066640067310449,
Will the highest temperature in Tokyo be 29°C on August 4?,20,31.00,5990,842,1533,510,470,174,7,,
Will the highest temperature in Jeddah be 40°C on August 3?,20,32.00,6325,1388,536,763,329,113,18,,
Will the highest temperature in Beijing be 34°C on August 4?,20,25.00,4964,1176,1269,658,698,130,5,,
Will the highest temperature in San Francisco be between 76-77°F on August 3?,20,40.00,7991,1926,1446,1031,717,5,386,,
Will the highest temperature in Hong Kong be 29°C on August 4?,20,35.00,6993,2621,691,1606,548,602,306,27548192200237543495050323196604975103041855181591116561245075239972632311147,
Will the highest temperature in Manila be 28°C on August 4?,20,33.00,6619,2159,724,1406,423,90,130,94177275453323842244166887109630856196113258543872297728868535249558946895622,
Will the highest temperature in Istanbul be 29°C on August 4?,20,38.00,7750,2361,959,1258,110,123,0,65610683118437906443017868631266653852716423775425622991595767039426087351585,
Will the highest temperature in Hong Kong be 27°C on August 3?,20,45.00,9651,2102,2224,904,1102,331,359,89732524933022302248955326764408605942563031120417649931017713193251145466935,24478392391904113565224279024005365942252277915514083330810620773873352172357
Will the highest temperature in Panama City be 34°C on August 3?,20,29.00,6380,1620,954,733,586,135,5,,
Will the highest temperature in Shenzhen be 29°C on August 3?,20,37.00,8253,2730,1210,2280,780,1072,270,74493623863324921369135138402507923084089992681640164623373661716290643550272,
Will the highest temperature in Kuala Lumpur be 33°C on August 4?,20,38.00,8800,3143,1155,2091,769,129,115,22583670118590073712643180425641306036526062567442691579286369044162330930669,
Will the highest temperature in Chengdu be 33°C on August 4?,20,36.00,9040,3455,960,2116,457,5,5,,
Will the highest temperature in Amsterdam be 31°C on August 4?,20,27.00,7265,2723,409,1782,216,854,5,88948491606388112688210361746373365233809593218600657186651981399510178329654,
Will the highest temperature in Manila be 29°C on August 4?,20,32.00,8714,2455,1179,1534,473,178,200,67801728611980932839118656256890658402831417534635871293209631306858682773192,
Will the highest temperature in Shanghai be 35°C on August 4?,20,39.00,10701,3829,1464,3087,917,1854,324,32382819762798470207575669321899272099942759413309330824565978133459610214942,
Will the highest temperature in Warsaw be 29°C on August 3?,20,39.00,10906,3244,1524,1668,346,6,10,,
Will the highest temperature in Wuhan be 37°C on August 4?,20,35.00,9881,3614,964,2199,590,127,130,66221220843205409710546236222595839443940559646195492742360811210540586418286,
Will the highest temperature in Moscow be 25°C on August 4?,20,28.00,8390,2087,1068,1274,656,120,292,27074181251078185979044694989712590929542570059765485107850528544389349106202,
Will the highest temperature in Milan be 35°C on August 4?,20,30.00,9214,3983,471,2515,324,1172,175,36220968515932085050289534148143274829278128792579115355064356950448684641304,
Will the highest temperature in Qingdao be 34°C on August 3?,20,29.00,10219,2751,598,1593,340,185,19,60504045264172887920239793560527920959691894316862872080410276463641568165337,
Will the highest temperature in Warsaw be 33°C on August 4?,20,34.00,12376,3715,1017,2276,630,125,130,28484038135612492277218661078612093309537183967222013258976255584059365171766,
Will the highest temperature in Singapore be 32°C on August 3?,20,54.00,30269,2041,1344,684,366,134,144,,
Will the highest temperature in Singapore be 32°C on August 4?,20,53.00,30455,2274,860,1402,513,1034,5,104061841443199090782821341175809491396894978956812635035022494861750385722876,
Will the highest temperature in Qingdao be 34°C on August 4?,20,38.00,22053,9375,1391,7504,771,2877,149,66709201735194986264861872607577686994412922058234299598237917124008484177699,
Will the highest temperature in Karachi be 33°C on August 4?,20,49.00,35270,3060,1088,1753,813,203,115,24590133837446522660550921237717413703535644495869351971590586833919102779071,
Will the highest temperature in Qingdao be 35°C on August 3?,20,43.00,38873,2503,2569,1450,514,54,50,82288463117814753460850552705707288902657953097517695312921801421878823082003,
Will the highest temperature in Moscow be 25°C on August 3?,20,45.00,41423,18261,1123,2537,639,1298,5,85455801557173391489805998082126479446126913340655674637747828498070473508540,
Will the highest temperature in Buenos Aires be 17°C on August 3?,20,42.00,38688,2635,573,1004,36,20,10,,
Will the highest temperature in Ankara be 33°C on August 4?,20,41.00,39019,3421,690,1836,301,1163,5,29457669809361164635303501258339195792967101795567957241859109206291044932983,
Will the highest temperature in Manila be 28°C on August 3?,20,44.00,44388,18597,1585,2885,995,1449,304,33875766967141312071440603596850356620308943368373638841222088748788244679235,110032403031473932772456527330229458367255784357984702016653392380891332199547
Will the highest temperature in London be 29°C on August 4?,20,40.00,40697,2528,777,1231,495,116,154,72351955366293890405935147741437797256369007634737636489467314156702653367228,
